store_id,zone_name,machine_project_id,fleet_project_id,cluster_name,location,node_count,cluster_ipv4_cidr,services_ipv4_cidr,external_load_balancer_ipv4_address_pools,sync_repo,sync_branch,sync_dir,secrets_project_id,git_token_secrets_manager_name,cluster_version,maintenance_window_start,maintenance_window_end,maintenance_window_recurrence,maintenance_exclusion_name_1,maintenance_exclusion_start_1,maintenance_exclusion_end_1,subnet_vlans,recreate_on_delete,enable_robin_cns
store-0001,us-west1-edge-nqn01,edgesites-baremetal-lab-qual,cloud-alchemists-sandbox,cluster-0001,us-west1,3,172.16.0.0/17,192.168.30.0/23,172.20.101.241-172.20.101.246,https://github.com/ggunjan/automated-cluster-provisioner.git,main,.,cloud-alchemists-sandbox,ggunjan-acp-token,1.13.0-gdce.68,,,,,,,100,true,false
store-0002,us-west1-edge-nqn02,edgesites-baremetal-lab-qual,cloud-alchemists-sandbox,cluster-0002,us-west1,3,172.16.0.0/17,192.168.30.0/23,172.20.102.241-172.20.102.246,https://github.com/ggunjan/automated-cluster-provisioner.git,main,.,cloud-alchemists-sandbox,ggunjan-acp-token,1.13.0-gdce.68,,,,,,,100,true,false
store-0003,us-west1-edge-nqn03,edgesites-baremetal-lab-qual,cloud-alchemists-sandbox,cluster-0003,us-west1,3,172.16.0.0/17,192.168.30.0/23,172.20.103.241-172.20.103.246,https://github.com/ggunjan/automated-cluster-provisioner.git,main,.,cloud-alchemists-sandbox,ggunjan-acp-token,1.13.0-gdce.68,,,,,,,100,true,false
store-0004,us-west1-edge-nqn04,edgesites-baremetal-lab-qual,cloud-alchemists-sandbox,cluster-0004,us-west1,3,172.16.0.0/17,192.168.30.0/23,172.20.104.241-172.20.104.246,https://github.com/ggunjan/automated-cluster-provisioner.git,main,.,cloud-alchemists-sandbox,ggunjan-acp-token,1.13.0-gdce.68,,,,,,,100,true,false
store-0005,us-west1-edge-nqn05,edgesites-baremetal-lab-qual,cloud-alchemists-sandbox,cluster-0005,us-west1,3,172.16.0.0/17,192.168.30.0/23,172.20.105.241-172.20.105.246,https://github.com/ggunjan/automated-cluster-provisioner.git,main,.,cloud-alchemists-sandbox,ggunjan-acp-token,1.13.0-gdce.68,,,,,,,100,true,false
store-0006,us-west1-edge-nqn06,edgesites-baremetal-lab-qual,cloud-alchemists-sandbox,cluster-0006,us-west1,3,172.16.0.0/17,192.168.30.0/23,172.20.106.241-172.20.106.246,https://github.com/ggunjan/automated-cluster-provisioner.git,main,.,cloud-alchemists-sandbox,ggunjan-acp-token,1.13.0-gdce.68,,,,,,,100,true,false
store-0007,us-west1-edge-nqn07,edgesites-baremetal-lab-qual,cloud-alchemists-sandbox,cluster-0007,us-west1,3,172.16.0.0/17,192.168.30.0/23,172.20.107.241-172.20.107.246,https://github.com/ggunjan/automated-cluster-provisioner.git,main,.,cloud-alchemists-sandbox,ggunjan-acp-token,1.13.0-gdce.68,,,,,,,100,true,false
store-0008,us-west1-edge-nqn08,edgesites-baremetal-lab-qual,cloud-alchemists-sandbox,cluster-0008,us-west1,3,172.16.0.0/17,192.168.30.0/23,172.20.108.241-172.20.108.246,https://github.com/ggunjan/automated-cluster-provisioner.git,main,.,cloud-alchemists-sandbox,ggunjan-acp-token,1.13.0-gdce.68,,,,,,,100,true,false
store-0009,us-west1-edge-nqn09,edgesites-baremetal-lab-qual,cloud-alchemists-sandbox,cluster-0009,us-west1,3,172.16.0.0/17,192.168.30.0/23,172.20.109.241-172.20.109.246,https://github.com/ggunjan/automated-cluster-provisioner.git,main,.,cloud-alchemists-sandbox,ggunjan-acp-token,1.13.0-gdce.68,,,,,,,100,true,false
store-0010,us-west1-edge-nqn10,edgesites-baremetal-lab-qual,cloud-alchemists-sandbox,cluster-0010,us-west1,3,172.16.0.0/17,192.168.30.0/23,172.20.110.241-172.20.110.246,https://github.com/ggunjan/automated-cluster-provisioner.git,main,.,cloud-alchemists-sandbox,ggunjan-acp-token,1.13.0-gdce.68,,,,,,,100,true,false
store-0011,us-west1-edge-nqn11,edgesites-baremetal-lab-qual,cloud-alchemists-sandbox,cluster-0011,us-west1,3,172.16.0.0/17,192.168.30.0/23,172.20.111.241-172.20.111.246,https://github.com/ggunjan/automated-cluster-provisioner.git,main,.,cloud-alchemists-sandbox,ggunjan-acp-token,1.13.0-gdce.68,,,,,,,100,true,false
store-0012,us-west1-edge-nqn12,edgesites-baremetal-lab-qual,cloud-alchemists-sandbox,cluster-0012,us-west1,3,172.16.0.0/17,192.168.30.0/23,172.20.112.241-172.20.112.246,https://github.com/ggunjan/automated-cluster-provisioner.git,main,.,cloud-alchemists-sandbox,ggunjan-acp-token,1.13.0-gdce.68,,,,,,,100,true,false
store-0013,us-west1-edge-nqn13,edgesites-baremetal-lab-qual,cloud-alchemists-sandbox,cluster-0013,us-west1,3,172.16.0.0/17,192.168.30.0/23,172.20.113.241-172.20.113.246,https://github.com/ggunjan/automated-cluster-provisioner.git,main,.,cloud-alchemists-sandbox,ggunjan-acp-token,1.13.0-gdce.68,,,,,,,100,true,false
store-0014,us-west1-edge-nqn14,edgesites-baremetal-lab-qual,cloud-alchemists-sandbox,cluster-0014,us-west1,3,172.16.0.0/17,192.168.30.0/23,172.20.114.241-172.20.114.246,https://github.com/ggunjan/automated-cluster-provisioner.git,main,.,cloud-alchemists-sandbox,ggunjan-acp-token,1.13.0-gdce.68,,,,,,,100,true,false
store-0015,us-west1-edge-nqn15,edgesites-baremetal-lab-qual,cloud-alchemists-sandbox,cluster-0015,us-west1,3,172.16.0.0/17,192.168.30.0/23,172.20.115.241-172.20.115.246,https://github.com/ggunjan/automated-cluster-provisioner.git,main,.,cloud-alchemists-sandbox,ggunjan-acp-token,1.13.0-gdce.68,,,,,,,100,true,false
store-0016,us-west1-edge-nqn16,edgesites-baremetal-lab-qual,cloud-alchemists-sandbox,cluster-0016,us-west1,3,172.16.0.0/17,192.168.30.0/23,172.20.116.241-172.20.116.246,https://github.com/ggunjan/automated-cluster-provisioner.git,main,.,cloud-alchemists-sandbox,ggunjan-acp-token,1.13.0-gdce.68,,,,,,,100,true,false
store-0017,us-west1-edge-nqn17,edgesites-baremetal-lab-qual,cloud-alchemists-sandbox,cluster-0017,us-west1,3,172.16.0.0/17,192.168.30.0/23,172.20.117.241-172.20.117.246,https://github.com/ggunjan/automated-cluster-provisioner.git,main,.,cloud-alchemists-sandbox,ggunjan-acp-token,1.13.0-gdce.68,,,,,,,100,true,false
store-0018,us-west1-edge-nqn18,edgesites-baremetal-lab-qual,cloud-alchemists-sandbox,cluster-0018,us-west1,3,172.16.0.0/17,192.168.30.0/23,172.20.118.241-172.20.118.246,https://github.com/ggunjan/automated-cluster-provisioner.git,main,.,cloud-alchemists-sandbox,ggunjan-acp-token,1.13.0-gdce.68,,,,,,,100,true,false
store-0019,us-west1-edge-nqn19,edgesites-baremetal-lab-qual,cloud-alchemists-sandbox,cluster-0019,us-west1,3,172.16.0.0/17,192.168.30.0/23,172.20.119.241-172.20.119.246,https://github.com/ggunjan/automated-cluster-provisioner.git,main,.,cloud-alchemists-sandbox,ggunjan-acp-token,1.13.0-gdce.68,,,,,,,100,true,false
store-0020,us-west1-edge-nqn20,edgesites-baremetal-lab-qual,cloud-alchemists-sandbox,cluster-0020,us-west1,3,172.16.0.0/17,192.168.30.0/23,172.20.120.241-172.20.120.246,https://github.com/ggunjan/automated-cluster-provisioner.git,main,.,cloud-alchemists-sandbox,ggunjan-acp-token,1.13.0-gdce.68,,,,,,,100,true,false
