store_id,zone_name,machine_project_id,fleet_project_id,cluster_name,location,node_count,cluster_ipv4_cidr,services_ipv4_cidr,external_load_balancer_ipv4_address_pools,sync_repo,sync_branch,sync_dir,secrets_project_id,git_token_secrets_manager_name,cluster_version,maintenance_window_start,maintenance_window_end,maintenance_window_recurrence,maintenance_exclusion_name_1,maintenance_exclusion_start_1,maintenance_exclusion_end_1,subnet_vlans,recreate_on_delete,enable_robin_cns
zone-17d86c7e-629d-4815-942b-2f90769e80f0,us-west1-edge-nqn15672,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-1,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-1/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
zone-2,us-west1-edge-nqn09307,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-2,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-2/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
zone-3,,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-3,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-3/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
zone-4,us-west1-edge-nqn61877,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-4,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-4/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
zone-5,,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-5,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-5/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
zone-6,us-west1-edge-nqn29322,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-6,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-6/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
zone-7,us-west1-edge-nqn39050,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-7,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-7/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
zone-8,us-west1-edge-nqn31162,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-8,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-8/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
zone-9,us-west1-edge-nqn20414,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-9,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-9/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
zone-10,,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-10,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-10/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
