store_id,zone_name,machine_project_id,fleet_project_id,cluster_name,location,node_count,cluster_ipv4_cidr,services_ipv4_cidr,external_load_balancer_ipv4_address_pools,sync_repo,sync_branch,sync_dir,secrets_project_id,git_token_secrets_manager_name,cluster_version,maintenance_window_start,maintenance_window_end,maintenance_window_recurrence,maintenance_exclusion_name_1,maintenance_exclusion_start_1,maintenance_exclusion_end_1,subnet_vlans,recreate_on_delete,enable_robin_cns
store-0001,us-central1-edge-tst001,acp-prod-1,acp-prod-1,cluster-0001,us-central1,3,172.16.0.0/17,192.168.30.0/23,172.20.101.241-172.20.101.246,https://gitlab.com/gcp-solutions-public/retail-edge/gdce/primary-root-repo,main,/config/clusters/cluster-0001/meta,acp-prod-1,cs-git-pat,1.7.0,,,,,,,100,true,false
store-0002,us-central1-edge-tst002,acp-prod-1,acp-prod-1,cluster-0002,us-central1,3,172.16.0.0/17,192.168.30.0/23,172.20.102.241-172.20.102.246,https://gitlab.com/gcp-solutions-public/retail-edge/gdce/primary-root-repo,main,/config/clusters/cluster-0002/meta,acp-prod-1,cs-git-pat,1.7.0,,,,,,,100,true,false
store-0003,us-central1-edge-tst003,acp-prod-1,acp-prod-1,cluster-0003,us-central1,3,172.16.0.0/17,192.168.30.0/23,172.20.103.241-172.20.103.246,https://gitlab.com/gcp-solutions-public/retail-edge/gdce/primary-root-repo,main,/config/clusters/cluster-0003/meta,acp-prod-1,cs-git-pat,1.7.0,,,,,,,100,true,false
store-0004,us-central1-edge-tst004,acp-prod-1,acp-prod-1,cluster-0004,us-central1,3,172.16.0.0/17,192.168.30.0/23,172.20.104.241-172.20.104.246,https://gitlab.com/gcp-solutions-public/retail-edge/gdce/primary-root-repo,main,/config/clusters/cluster-0004/meta,acp-prod-1,cs-git-pat,1.7.0,,,,,,,100,true,false
store-0005,us-central1-edge-tst005,acp-prod-1,acp-prod-1,cluster-0005,us-central1,3,172.16.0.0/17,192.168.30.0/23,172.20.105.241-172.20.105.246,https://gitlab.com/gcp-solutions-public/retail-edge/gdce/primary-root-repo,main,/config/clusters/cluster-0005/meta,acp-prod-1,cs-git-pat,1.7.0,,,,,,,100,true,false
store-0006,us-central1-edge-tst006,acp-prod-1,acp-prod-1,cluster-0006,us-central1,3,172.16.0.0/17,192.168.30.0/23,172.20.106.241-172.20.106.246,https://gitlab.com/gcp-solutions-public/retail-edge/gdce/primary-root-repo,main,/config/clusters/cluster-0006/meta,acp-prod-1,cs-git-pat,1.7.0,,,,,,,100,true,false
store-0007,us-central1-edge-tst007,acp-prod-1,acp-prod-1,cluster-0007,us-central1,3,172.16.0.0/17,192.168.30.0/23,172.20.107.241-172.20.107.246,https://gitlab.com/gcp-solutions-public/retail-edge/gdce/primary-root-repo,main,/config/clusters/cluster-0007/meta,acp-prod-1,cs-git-pat,1.7.0,,,,,,,100,true,false
store-0008,us-central1-edge-tst008,acp-prod-1,acp-prod-1,cluster-0008,us-central1,3,172.16.0.0/17,192.168.30.0/23,172.20.108.241-172.20.108.246,https://gitlab.com/gcp-solutions-public/retail-edge/gdce/primary-root-repo,main,/config/clusters/cluster-0008/meta,acp-prod-1,cs-git-pat,1.7.0,,,,,,,100,true,false
store-0009,us-central1-edge-tst009,acp-prod-1,acp-prod-1,cluster-0009,us-central1,3,172.16.0.0/17,192.168.30.0/23,172.20.109.241-172.20.109.246,https://gitlab.com/gcp-solutions-public/retail-edge/gdce/primary-root-repo,main,/config/clusters/cluster-0009/meta,acp-prod-1,cs-git-pat,1.7.0,,,,,,,100,true,false
store-0010,us-central1-edge-tst010,acp-prod-1,acp-prod-1,cluster-0010,us-central1,3,172.16.0.0/17,192.168.30.0/23,172.20.110.241-172.20.110.246,https://gitlab.com/gcp-solutions-public/retail-edge/gdce/primary-root-repo,main,/config/clusters/cluster-0010/meta,acp-prod-1,cs-git-pat,1.7.0,,,,,,,100,true,false
